domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc
molecules,tdc_bbb_martins,pubchem10m_bpe,2030,1421,203,406,2,0.236,,Therapeutics Data Commons (ADME),0.8645320197044335,0.8571428571428571,0.8817733990147784,0.8768472906403941,0.8916256157635468,0.8697037210756724,0.867104440275172,0.9013836772983115,0.9085365853658536,0.8628830519074422
molecules,tdc_bbb_martins,smiles_bert,2030,1421,203,406,2,0.236,,Therapeutics Data Commons (ADME),0.8078817733990148,0.8152709359605911,0.8793103448275862,0.8866995073891626,0.8793103448275862,0.8526227329580987,0.847795497185741,0.8813711694809255,0.8958724202626641,0.8898139462163851
molecules,tdc_bioavailability_ma,chemberta_77m_mtr,640,448,64,128,2,0.2313,,Therapeutics Data Commons (ADME),0.734375,0.7421875,0.75,0.6953125,0.765625,0.6873960758230795,0.69271699368141,0.701696042567343,0.6388427003658131,0.6814100432324577
molecules,tdc_bioavailability_ma,chemberta_v2,640,448,64,128,2,0.2313,,Therapeutics Data Commons (ADME),0.71875,0.6640625,0.7734375,0.71875,0.734375,0.6697705354173594,0.6129032258064516,0.6152311273694713,0.6514798802793482,0.6704356501496509
molecules,tdc_bioavailability_ma,chemberta_zinc_base,640,448,64,128,2,0.2313,,Therapeutics Data Commons (ADME),0.6875,0.6953125,0.7265625,0.703125,0.703125,0.5989358164283339,0.6854007316262055,0.6617891586298636,0.6483205853009645,0.6491519787163286
molecules,tdc_bioavailability_ma,pubchem10m_bpe,640,448,64,128,2,0.2313,,Therapeutics Data Commons (ADME),0.71875,0.6953125,0.7734375,0.7890625,0.796875,0.694712337878284,0.6268706351845692,0.6953774526105753,0.6779181908879282,0.6348520119720652
molecules,tdc_bioavailability_ma,smiles_bert,640,448,64,128,2,0.2313,,Therapeutics Data Commons (ADME),0.703125,0.6875,0.7578125,0.7421875,0.7109375,0.6865646824077154,0.6321915530428999,0.6933821084137014,0.5961090788160958,0.6185567010309279
molecules,tdc_carcinogens_lagunin,chemberta_77m_mtr,280,196,28,56,2,0.2143,,Therapeutics Data Commons (TOX),0.8392857142857143,0.8392857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7838383838383839,0.8454545454545455,0.7929292929292929,0.8181818181818181,0.8272727272727273
molecules,tdc_carcinogens_lagunin,chemberta_v2,280,196,28,56,2,0.2143,,Therapeutics Data Commons (TOX),0.8392857142857143,0.875,0.8571428571428571,0.8214285714285714,0.8214285714285714,0.6919191919191919,0.8292929292929293,0.8313131313131313,0.8242424242424242,0.8373737373737374
molecules,tdc_carcinogens_lagunin,chemberta_zinc_base,280,196,28,56,2,0.2143,,Therapeutics Data Commons (TOX),0.8214285714285714,0.8214285714285714,0.8571428571428571,0.8571428571428571,0.8392857142857143,0.6848484848484848,0.7565656565656566,0.7525252525252525,0.7929292929292929,0.704040404040404
molecules,tdc_carcinogens_lagunin,pubchem10m_bpe,280,196,28,56,2,0.2143,,Therapeutics Data Commons (TOX),0.8392857142857143,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.7575757575757576,0.7464646464646465,0.8373737373737373,0.8343434343434343,0.7646464646464646
molecules,tdc_carcinogens_lagunin,smiles_bert,280,196,28,56,2,0.2143,,Therapeutics Data Commons (TOX),0.8035714285714286,0.875,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.7757575757575758,0.8151515151515152,0.794949494949495,0.8424242424242424,0.7949494949494951
molecules,tdc_cav3_t-type_calcium_channels_butkiewicz,chemberta_77m_mtr,6000,4000,1000,1000,2,0.0077,,Therapeutics Data Commons (HTS),0.995,0.987,0.995,0.995,0.995,0.48391959798994977,0.7796984924623116,0.8393969849246231,0.8401005025125629,0.7917587939698492
molecules,tdc_cav3_t-type_calcium_channels_butkiewicz,chemberta_v2,6000,4000,1000,1000,2,0.0077,,Therapeutics Data Commons (HTS),0.995,0.993,0.995,0.995,0.995,0.4904522613065327,0.8763819095477386,0.8030150753768844,0.852964824120603,0.8707537688442211
molecules,tdc_cav3_t-type_calcium_channels_butkiewicz,chemberta_zinc_base,6000,4000,1000,1000,2,0.0077,,Therapeutics Data Commons (HTS),0.995,0.993,0.995,0.995,0.995,0.4879396984924623,0.5579899497487437,0.6852261306532663,0.6381909547738694,0.5873366834170854
molecules,tdc_cav3_t-type_calcium_channels_butkiewicz,pubchem10m_bpe,6000,4000,1000,1000,2,0.0077,,Therapeutics Data Commons (HTS),0.994,0.987,0.995,0.995,0.995,0.492964824120603,0.7819095477386935,0.890854271356784,0.9318592964824121,0.8785929648241207
